USAID MISSION COMPETITIVE FORECAST - FY15 3rd Quarter ,,,,,,,,,,,,,,
MBIO,A&A Specialist,Award_Title,Award_Description,NAICS_Code,Total_Estimated_Cost,Implementing_Partner,Award_Type,Small_Business_SA,Fiscal_Year_of_Action,Anticipated_Award_Date,Anticipated_Solicitation_Release_Date,Award_Length,Solicitation_Number,Business_Forecast_Status_Change
Afghanistan,Noor Jalal,Regional Agricultural Development Program - East,"Food and economic security for rural Afghans to imrpove production of wheat, targeted high-value crops, livestock and provide alternaives to poppy cultivation.",541990,$25M - $49.99M,TBD,Contract,N/A,2015,7/30/15,3/15/15,5 years,,
Afghanistan,Assefa Abebe,"Private Sector Development Project, Financial Access for Investing in the Development of Afghanistan","Private Sector Development Project, Financial Access for Investing in the Development of Afghanistan, FAIDA follow on",541611,$25M - $49.99M,TBD,Contract,N/A,2015,5/2/16,12/30/14,4 years,,
Afghanistan,Sam Nagwere,Engineering Support Program (ESP),Architect and Engineering Support Services,541330,$75M - $149.99M,TBD,Contract,N/A,2015,9/30/15,2/28/15,5 years,,
Afghanistan,Sam Nagwere,Engineering Support Program Architectural & Engineering (ESP-A&E),Engineering Support Program Architectural & Engineering (ESP-A&E),541330,$75M - $149.99M,TBD,Contract,N/A,2015,11/1/15,5/31/15,5 years,,
Afghanistan,Noor Jalal,Strengthening Watershed and Irrigation Management,Strengthening Watershed and Irrigation Management,621111,$75M - $149.99M,TBD,Contract,N/A,2015,10/1/15,6/1/15,5 years,,
Afghanistan,Spozhmai Haidari,"Initiative for Hygiene, Sanitation and Nutrition Project (IHSAN)","Initiative for Hygiene, Sanitation and Nutrition Project (IHSAN)",541990,$75M - $149.99M,TBD,Contract,N/A,2015,11/30/15,4/2/15,5 years,,
Afghanistan,Sam Nagwere,Capacity Building for Ministry of Public Work (MOPW),Capacity Building for Ministry of Public Work (MOPW),,$25M - $49.99M,TBD,Contract,N/A,2015,1/30/16,9/30/15,2 years,,
Afghanistan,Mateen Safi,Gender Legacy Initiatives,Focus on gender equality and womens empowerment in Afghanistan.,541611,$10M - $24.99M,TBD,Contract,N/A,2015,6/1/15,1/30/15,2 years,,
Afghanistan,Ahmad Shakir Mehraban,"Gender Monitoring, Evaluation and Learning","Gender Monitoring, Evaluation and Learning",541611,$10M - $24.99M,TBD,Contract,N/A,2015,7/15/15,3/15/15,5 years,,
Afghanistan,Spozhmai Haidari,Compreh Integrat Nutrition Hygiene and Sanitation Project (CINHS),Compreh Integrat Nutrition Hygiene and Sanitation Project (CINHS),621410,$50M - $74.99M,TBD,Contract,N/A,2015,11/30/15,3/5/15,5 years,,
Armenia,Armen Yeghiazarian,Purchase of Maternal and Child Health Equipment,Purchase of medical equipment and consumables to support USAID Maternal and Child Health Initiative with the Ministry of Health of the Republic of Armenia,423450,"$150,000 - $499,999",TBD,Contract,N/A,2015,9/30/15,6/15/15,4-6 months,,
Armenia,Armen Yeghiazarian,Armenia Policies for Growth,"The purposes of this five year activity is provide support to USAID/Armenia mission to improve the enabling environment for trade and investment and to increase ?competitiveness of targeted sectors in Armenia and to develop the capacity of Armenian universities, research institutions, and business associations to effectively engage the Government of Armenia (GOA) on business climate and select sector policies.",541990,"$500,000 - $999,999",TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,5/7/15,12/8/14,2 years,,
Armenia,Narine Sarkisian,Ararat Valley Water Project,Ararat Valley Water Project,541618,"$500,000 - $999,999",TBD,Cooperative Agreement,N/A,2015,7/30/15,5/30/15,3 years,,
Armenia,Armen Yeghiazarian,Domestic Violence Prevention/Protection,"The objective of this Domestic Violence Prevention Activity is to contribute to the prevention of domestic violence by supporting a youth focused domestic violence prevention project (targeting both boys and girls) which is focused on issues of self-esteem, non-violent conflict resolution, leadership development, and healthy relationships.",541990,"$150,000 - $499,999",TBD,Cooperative Agreement,N/A,2015,5/11/15,12/15/14,3 years,,
Bangladesh,TBD,Rice and Integrated Crop Systems Activity,New Rice/Maze Project,,$10M - $24.99M,,Cooperative Agreement,N/A,2015,10/1/15,10/1/15,,,
Bangladesh,TBD,New Rice/Maze Project,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,10/1/15,10/1/15,,,
Bangladesh,TBD,New Nutrition Project,,,$1M - $3.99M,,Cooperative Agreement,N/A,2015,10/1/15,9/20/15,,,
